0,0
1,0.0998334
2,0.198669
3,0.29552
4,0.389418
5,0.479426
6,0.564642
7,0.644218
8,0.717356
9,0.783327
10,0.841471
11,0.891207
12,0.932039
13,0.963558
14,0.98545
15,0.997495
16,0.999574
17,0.991665
18,0.973848
19,0.9463
20,0.909297
21,0.863209
22,0.808496
23,0.745705
24,0.675463
25,0.598472
26,0.515501
27,0.42738
28,0.334988
29,0.239249
30,0.14112
31,0.0415807
32,-0.0583741
33,-0.157746
34,-0.255541
35,-0.350783
36,-0.44252
37,-0.529836
38,-0.611858
39,-0.687766
40,-0.756802
41,-0.818277
42,-0.871576
43,-0.916166
44,-0.951602
45,-0.97753
46,-0.993691
47,-0.999923
48,-0.996165
49,-0.982453
